antibiotic,feature,importance
imipenem,mean_zone,0.27864149825039813
imipenem,zero_count,0.1789584395997455
imipenem,augmentin_surf_mean,0.05571977476177139
imipenem,augmentin_city_mean,0.04809243786539284
imipenem,imipenem_surf_mean,0.04734219750696661
ceftazidime,mean_zone,0.3679549772394572
ceftazidime,min_zone,0.2152733251812995
ceftazidime,zero_count,0.09629968083634899
ceftazidime,ceftazidime_surf_mean,0.0310983959791329
ceftazidime,ciprofloxacin_city_mean,0.02944905730338803
gentamicin,mean_zone,0.39703933546634257
gentamicin,zero_count,0.10589476958689772
gentamicin,min_zone,0.10311216329521858
gentamicin,ciprofloxacin_city_mean,0.04962506140211755
gentamicin,gentamicin_surf_mean,0.03674253366161832
augmentin,mean_zone,0.4462762931965749
augmentin,min_zone,0.1604228383511376
augmentin,zero_count,0.09742954442018643
augmentin,augmentin_city_mean,0.031551533586980464
augmentin,ceftazidime_city_mean,0.030610586624449918
ciprofloxacin,mean_zone,0.543260674081547
ciprofloxacin,min_zone,0.11982436812752546
ciprofloxacin,zero_count,0.08127896098808343
ciprofloxacin,imipenem_city_mean,0.03091934399978514
ciprofloxacin,gentamicin_city_mean,0.025215900018297092
